VARIABLE_NAME	VARIABLE_SCOPE	DEFAULT_VALUE	CURRENT_VALUE	MIN_VALUE	MAX_VALUE	POSSIBLE_VALUES	IS_NOOP
slave_checkpoint_group	GLOBAL	512	512	NULL	NULL	NULL	YES
slave_checkpoint_period	GLOBAL	300	300	NULL	NULL	NULL	YES
slave_compressed_protocol	GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
slave_exec_mode	GLOBAL	STRICT	STRICT	NULL	NULL	NULL	YES
slave_load_tmpdir	NONE	/var/tmp/	/var/tmp/	NULL	NULL	NULL	YES
slave_max_allowed_packet	GLOBAL	1073741824	1073741824	NULL	NULL	NULL	YES
slave_net_timeout	GLOBAL	3600	3600	NULL	NULL	NULL	YES
slave_parallel_type	GLOBAL			NULL	NULL	NULL	YES
slave_parallel_workers	GLOBAL	0	0	NULL	NULL	NULL	YES
slave_pending_jobs_size_max	GLOBAL	16777216	16777216	NULL	NULL	NULL	YES
slave_preserve_commit_order	GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
slave_rows_search_algorithms	GLOBAL	TABLE_SCAN,INDEX_SCAN	TABLE_SCAN,INDEX_SCAN	NULL	NULL	NULL	YES
slave_skip_errors	NONE	OFF	OFF	NULL	NULL	NULL	YES
slave_sql_verify_checksum	GLOBAL	ON	ON	NULL	NULL	NULL	YES
slave_transaction_retries	GLOBAL	10	10	NULL	NULL	NULL	YES
slow_launch_time	GLOBAL	2	2	NULL	NULL	NULL	YES
slow_query_log	GLOBAL	0	0	NULL	NULL	NULL	YES
slow_query_log_file	GLOBAL	/usr/local/mysql/data/${LOCALHOST_NAME}-slow.log	/usr/local/mysql/data/${LOCALHOST_NAME}-slow.log	NULL	NULL	NULL	YES
socket	NONE	/tmp/tidb-4000.sock	/tmp/tidb-4000.sock	NULL	NULL	NULL	NO
sort_buffer_size	SESSION,GLOBAL	262144	262144	NULL	NULL	NULL	YES
sql_auto_is_null	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
sql_big_selects	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	YES
sql_buffer_result	SESSION,GLOBAL	OFF	OFF	NULL	NULL	NULL	YES
sql_log_off	SESSION,GLOBAL	0	0	NULL	NULL	NULL	YES
sql_mode	SESSION,GLOBAL	ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION	ONLY_FULL_GROUP_BY,STRICT_TRANS_TABLES,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION	NULL	NULL	NULL	NO
sql_notes	SESSION,GLOBAL	1	1	NULL	NULL	NULL	YES
sql_quote_show_create	SESSION,GLOBAL	ON	ON	NULL	NULL	NULL	YES
